Date,Year,Avg_Price,Total_Volume,Small_4046,Medium_4225,Large_4770,Other_PLU,Total_Bags,Small_Bags,Medium_Bags,Large_Bags,Type,Region
2016-09-18,2016,1.02,757358,134608,198214,16329,408207,408207,87026,320842,339,conventional,Denver
2016-09-11,2016,0.98,791566,112292,227729,14433,437112,437112,93898,342086,1128,conventional,Denver
2016-09-04,2016,0.91,924278,146922,254464,17240,505652,505653,83144,422509,0,conventional,Denver
2016-08-28,2016,0.91,957464,138029,282568,13197,523670,523669,131367,390977,1325,conventional,Denver
2016-08-21,2016,1.22,603008,150776,190695,13733,247804,247804,119820,127269,715,conventional,Denver
2016-08-14,2016,1.18,657981,120450,189114,19583,328834,328835,100510,228325,0,conventional,Denver
2016-08-07,2016,1.14,695116,168010,183569,18625,324912,324912,151221,172079,1612,conventional,Denver
2016-07-31,2016,1.15,673588,144731,178801,19083,330973,330973,200378,129902,693,conventional,Denver
2016-07-24,2016,1.17,690893,128025,187555,19241,356072,356072,135291,217563,3218,conventional,Denver
2016-07-17,2016,1.07,771606,145159,204309,19017,403121,403122,148178,254838,106,conventional,Denver
2016-07-10,2016,1.04,835116,190377,230362,20484,393893,393894,137891,252847,3156,conventional,Denver
2016-07-03,2016,1.03,815699,170576,256861,21307,366955,366954,200147,162792,4015,conventional,Denver
2016-06-26,2016,0.98,773678,165859,229713,17278,360828,360828,146704,213091,1033,conventional,Denver
2016-06-19,2016,1.0,791014,188106,224899,20738,357271,357271,96130,260599,542,conventional,Denver
2016-06-12,2016,0.96,819665,179534,242834,19839,377458,377459,91439,284377,1643,conventional,Denver
2016-06-05,2016,0.85,939081,184535,326967,16486,411093,411094,83338,327756,0,conventional,Denver
2016-05-29,2016,0.85,977871,181471,282618,33023,480759,480758,79916,400602,240,conventional,Denver
2016-05-22,2016,0.9,932147,160299,266856,17526,487466,487465,79603,407239,623,conventional,Denver
2016-05-15,2016,0.9,952355,159349,252574,39118,501314,501314,71486,427649,2179,conventional,Denver
2016-05-08,2016,0.8,1113913,181355,427697,13291,491570,491569,73293,416966,1310,conventional,Denver
2016-05-01,2016,0.87,819111,153152,261525,15299,389135,389135,155355,231176,2604,conventional,Denver
2016-04-24,2016,0.93,661914,132551,225789,11419,292155,292155,89444,200704,2007,conventional,Denver
2016-04-17,2016,0.78,1011266,171832,285968,27996,525470,525469,59673,461184,4612,conventional,Denver
2016-04-10,2016,0.77,982818,127375,353041,11021,491381,491382,178430,311446,1506,conventional,Denver
2016-04-03,2016,0.83,829424,153222,209188,25632,441382,441382,39142,402240,0,conventional,Denver
2016-03-27,2016,0.95,716900,150919,208644,20424,336913,336913,47124,289789,0,conventional,Denver
2016-03-20,2016,0.73,1005860,138939,360370,10951,495600,495600,46784,448816,0,conventional,Denver
2016-03-13,2016,0.83,824793,158017,261686,33866,371224,371224,50280,320943,1,conventional,Denver
2016-03-06,2016,0.98,671668,145894,242906,18706,264162,264161,47418,216743,0,conventional,Denver
2016-02-28,2016,0.74,1058089,118100,300336,62908,576745,576746,43137,533592,17,conventional,Denver
2016-02-21,2016,0.73,955583,155250,331998,14973,453362,453361,43380,409969,12,conventional,Denver
2016-02-14,2016,0.7,966134,178547,277085,17993,492509,492510,43324,449186,0,conventional,Denver
2016-02-07,2016,0.63,1365558,230722,557897,18935,558004,558004,50218,507786,0,conventional,Denver
2016-01-31,2016,0.8,892702,167669,270482,27490,427061,427061,45613,381448,0,conventional,Denver
2016-01-24,2016,0.6,1195521,25727,404617,15455,749722,749722,43669,706053,0,conventional,Denver
2016-01-17,2016,0.66,1245174,118600,403010,31010,692554,692555,43027,649528,0,conventional,Denver
2016-01-10,2016,0.72,1094946,146631,366331,37684,544300,544300,44732,499568,0,conventional,Denver
2016-01-03,2016,0.6,1295246,114122,526049,10375,644700,644701,33034,611655,12,conventional,Denver
2016-12-25,2016,1.06,319957,89825,59759,7122,163251,163252,161041,2192,19,conventional,Detroit
2016-12-18,2016,1.05,298755,82537,85859,10805,119554,119554,117398,2072,84,conventional,Detroit
2016-12-11,2016,0.95,333110,135590,44004,5245,148271,148271,145975,2039,257,conventional,Detroit
2016-12-04,2016,0.81,545217,156550,173438,22752,192477,192476,188723,3635,118,conventional,Detroit
2016-11-27,2016,1.18,262530,86558,47554,4975,123443,123444,121147,2290,7,conventional,Detroit
2016-11-20,2016,1.35,243577,76105,46524,5328,115620,115621,114230,1382,9,conventional,Detroit
2016-11-13,2016,1.39,236523,78974,43868,5687,107994,107993,107106,873,14,conventional,Detroit
2016-11-06,2016,1.4,231422,80605,46243,5689,98885,98887,97806,1074,7,conventional,Detroit
2016-10-30,2016,1.4,193941,75577,41554,4806,72004,72005,70937,1059,9,conventional,Detroit
2016-10-23,2016,1.35,227234,84501,51517,8023,83193,83192,80684,2492,16,conventional,Detroit
2016-10-16,2016,1.26,256744,83561,51486,6767,114930,114931,112345,2582,4,conventional,Detroit
2016-10-09,2016,1.27,253887,85267,50764,6966,110890,110890,104612,6147,131,conventional,Detroit
2016-10-02,2016,1.25,266892,83700,49320,7838,126034,126035,118414,7605,16,conventional,Detroit
2016-09-25,2016,1.24,274937,89632,50863,8202,126240,126240,124696,1542,2,conventional,Detroit
2016-09-18,2016,1.1,320748,105596,53982,8602,152568,152568,147793,4601,174,conventional,Detroit
2016-09-11,2016,1.09,339890,123014,57729,10906,148241,148242,143847,4395,0,conventional,Detroit
2016-09-04,2016,1.08,326336,119899,56047,11880,138510,138508,138186,287,35,conventional,Detroit
2016-08-28,2016,1.01,353421,123354,54190,10761,165116,165115,164229,533,353,conventional,Detroit
2016-08-21,2016,1.15,316860,121469,53707,13152,128532,128531,127062,109,1360,conventional,Detroit
2016-08-14,2016,1.08,367007,127204,53137,15900,170766,170766,168989,1081,696,conventional,Detroit
2016-08-07,2016,1.13,352764,127164,60622,20553,144425,144426,124980,18669,777,conventional,Detroit
2016-07-31,2016,1.16,340176,133526,51178,23139,132333,132333,122543,5808,3982,conventional,Detroit
2016-07-24,2016,1.15,354577,133985,39971,40560,140061,140062,111539,10056,18467,conventional,Detroit
2016-07-17,2016,1.17,328238,126818,41461,41888,118071,118071,100213,907,16951,conventional,Detroit
2016-07-10,2016,1.18,311241,117420,41581,38635,113605,113606,82670,14996,15940,conventional,Detroit
2016-07-03,2016,1.17,336702,127175,42030,37960,129537,129536,113573,2084,13879,conventional,Detroit
2016-06-26,2016,1.13,344391,116198,50836,57170,120187,120188,101180,243,18765,conventional,Detroit
2016-06-19,2016,1.0,442961,149056,60808,75225,157872,157872,130698,1731,25443,conventional,Detroit
2016-06-12,2016,0.98,414532,162656,38374,38385,175117,175118,160648,1916,12554,conventional,Detroit
2016-06-05,2016,0.92,473131,121770,90921,123671,136769,136770,94468,3849,38453,conventional,Detroit
2016-05-29,2016,1.04,348557,127404,45533,38082,137538,137539,122657,4440,10442,conventional,Detroit
2016-05-22,2016,1.07,303331,118921,40269,35078,109063,109063,94756,4350,9957,conventional,Detroit
2016-05-15,2016,0.86,485653,139498,86028,120895,139232,139233,86916,16445,35872,conventional,Detroit
2016-05-08,2016,0.96,500425,168697,84170,107930,139628,139627,91310,21053,27264,conventional,Detroit
2016-05-01,2016,1.0,319392,109542,48136,46049,115665,115666,97921,6528,11217,conventional,Detroit
2016-04-24,2016,1.0,331110,116268,50906,45926,118010,118010,102881,6973,8156,conventional,Detroit
2016-04-17,2016,0.97,447347,96174,116001,132061,103111,103112,66169,6263,30680,conventional,Detroit
2016-04-10,2016,1.03,312996,126215,30729,44982,111070,111069,92085,10173,8811,conventional,Detroit
2016-04-03,2016,1.02,335108,121653,33904,72329,107222,107222,65916,27480,13826,conventional,Detroit
2016-03-27,2016,1.05,378432,80333,65448,119489,113162,113161,55446,37647,20068,conventional,Detroit
2016-03-20,2016,1.09,371639,78492,67762,111819,113566,113565,58374,35829,19362,conventional,Detroit
2016-03-13,2016,1.12,299528,82407,42594,65647,108880,108880,66514,32804,9562,conventional,Detroit
2016-03-06,2016,0.97,441920,79240,86748,154833,121099,121098,47041,43570,30487,conventional,Detroit
2016-02-28,2016,1.13,342465,82100,66020,108296,86049,86048,49708,19350,16990,conventional,Detroit
2016-02-21,2016,1.2,247820,76212,42300,62843,66465,66465,47260,10248,8957,conventional,Detroit
2016-02-14,2016,1.0,334545,129795,51192,71030,82528,82527,60254,12168,10105,conventional,Detroit
2016-02-07,2016,0.77,594785,169611,118252,192417,114505,114504,58664,17270,38570,conventional,Detroit
2016-01-31,2016,1.04,364613,131407,59678,96299,77229,77229,49336,12767,15126,conventional,Detroit
2016-01-24,2016,0.94,489585,154051,95838,151280,88416,88415,58403,4514,25498,conventional,Detroit
2016-01-17,2016,1.11,293247,82804,46383,78514,85546,85545,70769,4505,10271,conventional,Detroit
2016-01-10,2016,1.1,325998,133287,49833,73427,69451,69451,57082,2454,9915,conventional,Detroit
2016-01-03,2016,0.86,492700,165617,93942,143912,89229,89228,51669,2096,35463,conventional,Detroit
2016-12-25,2016,1.33,149349,1346,91323,3769,52911,52912,47454,5228,230,conventional,GrandRapids
2016-12-18,2016,1.14,161137,908,109289,4631,46309,46308,42335,3947,26,conventional,GrandRapids
2016-12-11,2016,1.2,128166,1045,60599,2268,64254,64255,58704,5539,12,conventional,GrandRapids
2016-12-04,2016,0.92,263904,1093,189102,9126,64583,64584,61981,2547,56,conventional,GrandRapids
2016-11-27,2016,1.44,103698,1330,62174,2036,38158,38159,34495,3626,38,conventional,GrandRapids
2016-11-20,2016,1.46,127393,1166,82542,2576,41109,41109,39611,1472,26,conventional,GrandRapids
2016-11-13,2016,1.59,118567,1341,62842,2934,51450,51449,50552,892,5,conventional,GrandRapids
2016-11-06,2016,1.67,100001,1859,58869,2786,36487,36487,34753,1713,21,conventional,GrandRapids
2016-10-30,2016,1.42,107014,1991,80588,2821,21614,21612,17160,4411,41,conventional,GrandRapids
2016-10-23,2016,1.72,100905,1235,64736,3120,31814,31814,26018,5758,38,conventional,GrandRapids
2016-10-16,2016,1.63,117843,1511,69626,3811,42895,42896,38574,4301,21,conventional,GrandRapids
2016-10-09,2016,1.62,116478,1531,67528,3409,44010,44010,39396,4581,33,conventional,GrandRapids
2016-10-02,2016,1.6,122092,1618,67660,4167,48647,48647,43757,4869,21,conventional,GrandRapids
2016-09-25,2016,1.55,137599,2758,75047,4715,55079,55079,47569,7491,19,conventional,GrandRapids
2016-09-18,2016,1.49,139512,1407,82347,4838,50920,50920,44436,6479,5,conventional,GrandRapids
2016-09-11,2016,1.58,136492,1711,76988,6085,51708,51709,46525,5160,24,conventional,GrandRapids
2016-09-04,2016,1.52,142914,2699,79727,8314,52174,52174,47211,4235,728,conventional,GrandRapids
2016-08-28,2016,1.45,143050,2478,68530,10745,61297,61296,54347,4939,2010,conventional,GrandRapids
2016-08-21,2016,1.63,132895,2042,66472,18507,45874,45873,39617,1742,4514,conventional,GrandRapids
2016-08-14,2016,1.53,147711,1836,61893,23662,60320,60321,49619,3263,7439,conventional,GrandRapids
2016-08-07,2016,1.59,145208,2220,72545,19401,51042,51042,42210,3446,5386,conventional,GrandRapids
2016-07-31,2016,1.6,142302,2219,78076,12112,49895,49896,44480,3059,2357,conventional,GrandRapids
2016-07-24,2016,1.6,149003,2350,66146,26207,54300,54299,40487,3842,9970,conventional,GrandRapids
2016-07-17,2016,1.58,146731,2137,69206,24890,50498,50498,38583,3582,8333,conventional,GrandRapids
2016-07-10,2016,1.6,133748,1971,70502,21318,39957,39956,25890,4005,10061,conventional,GrandRapids
2016-07-03,2016,1.49,159567,2335,79978,20020,57234,57234,42382,4598,10254,conventional,GrandRapids
2016-06-26,2016,1.26,183547,2370,104540,14725,61912,61911,49679,4817,7415,conventional,GrandRapids
2016-06-19,2016,1.26,216300,3035,130169,18999,64097,64097,49222,4611,10264,conventional,GrandRapids
2016-06-12,2016,1.36,167703,3254,93760,2234,68455,68455,62658,4766,1031,conventional,GrandRapids
2016-06-05,2016,0.93,310904,1814,218135,6826,84129,84130,76848,6583,699,conventional,GrandRapids
2016-05-29,2016,1.32,193460,2080,117665,2496,71219,71218,65725,5039,454,conventional,GrandRapids
2016-05-22,2016,1.31,151841,1950,84537,4986,60368,60367,50741,7308,2318,conventional,GrandRapids
2016-05-15,2016,0.88,295707,1673,211337,6472,76225,76224,67998,7824,402,conventional,GrandRapids
2016-05-08,2016,1.04,272057,1949,201017,5353,63738,63738,56653,6646,439,conventional,GrandRapids
2016-05-01,2016,1.12,191903,1858,131194,3003,55848,55847,49040,6737,70,conventional,GrandRapids
2016-04-24,2016,1.07,181857,2001,113326,3088,63442,63441,55324,8087,30,conventional,GrandRapids
2016-04-17,2016,0.89,332192,1878,256400,8606,65308,65308,58861,6230,217,conventional,GrandRapids
2016-04-10,2016,1.17,155144,2129,95777,3412,53826,53825,47308,5850,667,conventional,GrandRapids
2016-04-03,2016,1.1,156883,2410,97646,3234,53593,53593,47055,6428,110,conventional,GrandRapids
2016-03-27,2016,0.99,216789,2299,146038,5101,63351,63351,53893,9317,141,conventional,GrandRapids
2016-03-20,2016,1.07,208712,2126,140410,4357,61819,61818,55984,5768,66,conventional,GrandRapids
2016-03-13,2016,1.15,149120,2180,91195,2608,53137,53137,43482,9622,33,conventional,GrandRapids
2016-03-06,2016,0.91,259568,1975,191952,7753,57888,57889,54012,3634,243,conventional,GrandRapids
2016-02-28,2016,1.07,202356,2249,141142,5164,53801,53802,49890,3809,103,conventional,GrandRapids
2016-02-21,2016,1.16,142682,3581,93604,4068,41429,41429,36166,5151,112,conventional,GrandRapids
2016-02-14,2016,1.13,154975,3573,98244,14048,39110,39110,28771,6755,3584,conventional,GrandRapids
2016-02-07,2016,0.94,290556,3936,205007,43867,37746,37747,23629,2406,11712,conventional,GrandRapids
2016-01-31,2016,1.13,182987,3589,126342,14941,38115,38114,29860,3445,4809,conventional,GrandRapids
2016-01-24,2016,0.94,260599,2407,195586,16377,46229,46229,38644,2468,5117,conventional,GrandRapids
2016-01-17,2016,1.05,172166,3810,106815,5407,56134,56134,52364,2470,1300,conventional,GrandRapids
2016-01-10,2016,1.17,160433,3615,110381,3921,42516,42516,38447,3622,447,conventional,GrandRapids
2016-01-03,2016,0.92,258889,3985,191590,12294,51020,51020,42962,2685,5373,conventional,GrandRapids
2016-12-25,2016,1.45,186180,29000,97384,1530,58266,58267,55674,2561,32,conventional,HarrisburgScranton
2016-12-18,2016,1.21,210917,25826,133480,209,51402,51403,50218,1185,0,conventional,HarrisburgScranton
2016-12-11,2016,1.26,202601,27492,115422,113,59574,59573,57170,2403,0,conventional,HarrisburgScranton
2016-12-04,2016,1.4,172416,27161,93529,71,51655,51655,50780,801,74,conventional,HarrisburgScranton
2016-11-27,2016,1.4,155286,26022,81008,84,48172,48172,47431,741,0,conventional,HarrisburgScranton
2016-11-20,2016,1.37,191756,29191,91103,117,71345,71344,70657,687,0,conventional,HarrisburgScranton
2016-11-13,2016,1.42,197921,39007,92585,127,66202,66203,65223,973,7,conventional,HarrisburgScranton
2016-11-06,2016,1.55,174837,40523,82050,152,52112,52113,51327,756,30,conventional,HarrisburgScranton
2016-10-30,2016,1.59,171652,35333,78895,88,57336,57337,56959,378,0,conventional,HarrisburgScranton
2016-10-23,2016,1.6,195809,35724,99576,114,60395,60395,60146,187,62,conventional,HarrisburgScranton
2016-10-16,2016,1.49,205728,43579,95965,176,66008,66009,65297,712,0,conventional,HarrisburgScranton
2016-10-09,2016,1.42,219090,43011,111487,218,64374,64374,63388,986,0,conventional,HarrisburgScranton
2016-10-02,2016,1.4,214727,42262,106682,192,65591,65591,64689,902,0,conventional,HarrisburgScranton
2016-09-25,2016,1.37,222019,68045,89410,184,64380,64381,63531,772,78,conventional,HarrisburgScranton
2016-09-18,2016,1.26,220698,75558,73638,177,71325,71325,69129,2196,0,conventional,HarrisburgScranton
2016-09-11,2016,1.19,272611,108309,103071,124,61107,61107,59029,2062,16,conventional,HarrisburgScranton
2016-09-04,2016,1.15,311177,77541,112618,231,120787,120787,119477,1160,150,conventional,HarrisburgScranton
2016-08-28,2016,1.32,269378,45946,114244,1087,108101,108101,102789,2349,2963,conventional,HarrisburgScranton
2016-08-21,2016,1.28,258309,41522,119685,101,97001,97001,85856,7905,3240,conventional,HarrisburgScranton
2016-08-14,2016,1.22,272099,49713,114887,194,107305,107306,98316,6770,2220,conventional,HarrisburgScranton
2016-08-07,2016,1.24,267083,56263,109040,538,101242,101242,96275,1282,3685,conventional,HarrisburgScranton
2016-07-31,2016,1.37,253672,48176,110155,347,94994,94995,90148,592,4255,conventional,HarrisburgScranton
2016-07-24,2016,1.36,247275,42713,103034,273,101255,101256,92483,553,8220,conventional,HarrisburgScranton
2016-07-17,2016,1.25,249118,37155,99017,207,112739,112738,100384,1259,11095,conventional,HarrisburgScranton
2016-07-10,2016,1.21,274783,43879,118216,437,112251,112251,102165,1668,8418,conventional,HarrisburgScranton
2016-07-03,2016,1.23,287688,41552,129784,762,115590,115592,103962,868,10762,conventional,HarrisburgScranton
2016-06-26,2016,1.24,277479,38571,141143,593,97172,97172,91757,985,4430,conventional,HarrisburgScranton
2016-06-19,2016,1.26,267236,41125,132642,298,93171,93170,86477,1092,5601,conventional,HarrisburgScranton
2016-06-12,2016,1.24,250231,43254,114427,125,92425,92426,85234,1542,5650,conventional,HarrisburgScranton
2016-06-05,2016,1.23,267226,40843,134735,192,91456,91456,84589,5237,1630,conventional,HarrisburgScranton
2016-05-29,2016,1.13,280015,44169,143023,137,92686,92687,79282,12975,430,conventional,HarrisburgScranton
2016-05-22,2016,1.12,257599,40866,124678,183,91872,91872,90017,775,1080,conventional,HarrisburgScranton
2016-05-15,2016,1.08,270639,34543,159859,227,76010,76010,73290,2720,0,conventional,HarrisburgScranton
2016-05-08,2016,0.91,373545,47270,247409,358,78508,78507,77855,652,0,conventional,HarrisburgScranton
2016-05-01,2016,0.99,316411,52277,185445,363,78326,78326,76347,1979,0,conventional,HarrisburgScranton
2016-04-24,2016,1.09,283535,50495,157367,235,75438,75438,74325,1113,0,conventional,HarrisburgScranton
2016-04-17,2016,1.05,257744,42205,135972,138,79429,79429,76854,2575,0,conventional,HarrisburgScranton
2016-04-10,2016,1.05,237139,42096,116592,168,78283,78284,75904,2380,0,conventional,HarrisburgScranton
2016-04-03,2016,1.13,186674,36367,88834,90,61383,61383,59420,1963,0,conventional,HarrisburgScranton
2016-03-27,2016,1.15,247390,35551,135848,157,75834,75835,74485,1350,0,conventional,HarrisburgScranton
2016-03-20,2016,1.08,269457,35428,159452,270,74307,74306,72834,1472,0,conventional,HarrisburgScranton
2016-03-13,2016,1.13,256786,35473,148078,202,73033,73032,71739,1293,0,conventional,HarrisburgScranton
2016-03-06,2016,1.17,240850,40528,130175,212,69935,69936,68305,1631,0,conventional,HarrisburgScranton
2016-02-28,2016,1.11,254954,36911,157390,213,60440,60440,58910,1530,0,conventional,HarrisburgScranton
2016-02-21,2016,1.15,235440,33668,136617,158,64997,64998,62780,2218,0,conventional,HarrisburgScranton
2016-02-14,2016,1.09,264904,39984,155336,224,69360,69360,67078,2282,0,conventional,HarrisburgScranton
2016-02-07,2016,1.1,310166,42668,186545,334,80619,80619,78498,2121,0,conventional,HarrisburgScranton
2016-01-31,2016,1.07,240912,30150,141568,148,69046,69045,67727,1318,0,conventional,HarrisburgScranton
2016-01-24,2016,1.13,269860,30858,145119,187,93696,93696,92435,1261,0,conventional,HarrisburgScranton
2016-01-17,2016,1.15,251772,37242,127825,215,86490,86489,85284,1205,0,conventional,HarrisburgScranton
2016-01-10,2016,1.14,231258,38270,113996,142,78850,78850,77645,1205,0,conventional,HarrisburgScranton
2016-01-03,2016,1.09,252693,36241,157969,315,58168,58168,57476,692,0,conventional,HarrisburgScranton
2016-12-25,2016,1.49,238100,2978,178949,7914,48259,48259,47076,866,317,conventional,HartfordSpringfield
2016-12-18,2016,1.22,304051,4770,256346,995,41940,41940,41573,225,142,conventional,HartfordSpringfield
2016-12-11,2016,1.42,245722,3322,186955,2350,53095,53095,51965,840,290,conventional,HartfordSpringfield
2016-12-04,2016,1.54,207483,3426,160247,591,43219,43219,42958,125,136,conventional,HartfordSpringfield
2016-11-27,2016,1.57,195221,4270,149413,120,41418,41418,41409,9,0,conventional,HartfordSpringfield
2016-11-20,2016,1.62,240656,4755,168091,122,67688,67687,66363,1324,0,conventional,HartfordSpringfield
2016-11-13,2016,1.82,184929,3119,129123,107,52580,52579,52392,187,0,conventional,HartfordSpringfield
2016-11-06,2016,1.83,173621,3071,119662,162,50726,50726,50160,566,0,conventional,HartfordSpringfield
2016-10-30,2016,1.81,180113,2705,130996,192,46220,46221,46141,80,0,conventional,HartfordSpringfield
2016-10-23,2016,1.78,213547,4201,152904,194,56248,56247,56074,104,69,conventional,HartfordSpringfield
2016-10-16,2016,1.82,208966,4397,148211,239,56119,56120,56021,99,0,conventional,HartfordSpringfield
2016-10-09,2016,1.62,231063,7855,171101,275,51832,51833,51618,40,175,conventional,HartfordSpringfield
2016-10-02,2016,1.69,216819,17696,145719,620,52784,52783,52593,190,0,conventional,HartfordSpringfield
2016-09-25,2016,1.63,224392,42274,125999,127,55992,55991,55353,628,10,conventional,HartfordSpringfield
2016-09-18,2016,1.51,233869,37691,130354,133,65691,65691,64310,1376,5,conventional,HartfordSpringfield
2016-09-11,2016,1.22,364052,84826,225724,197,53305,53304,52152,1137,15,conventional,HartfordSpringfield
2016-09-04,2016,1.54,279628,10731,199814,842,68241,68241,67173,734,334,conventional,HartfordSpringfield
2016-08-28,2016,1.59,287630,3267,209240,278,74845,74845,72125,1647,1073,conventional,HartfordSpringfield
2016-08-21,2016,1.46,299546,2618,191018,224,105686,105686,100063,4268,1355,conventional,HartfordSpringfield
2016-08-14,2016,1.46,298015,6429,186844,655,104087,104087,100492,2319,1276,conventional,HartfordSpringfield
2016-08-07,2016,1.5,288156,4285,183605,565,99701,99701,99392,119,190,conventional,HartfordSpringfield
2016-07-31,2016,1.72,255026,3820,170921,200,80085,80085,78540,340,1205,conventional,HartfordSpringfield
2016-07-24,2016,1.7,254686,3244,165703,149,85590,85590,82572,738,2280,conventional,HartfordSpringfield
2016-07-17,2016,1.63,259417,3079,173492,287,82559,82558,78534,347,3677,conventional,HartfordSpringfield
2016-07-10,2016,1.46,292612,3435,192339,700,96138,96138,90776,1638,3724,conventional,HartfordSpringfield
2016-07-03,2016,1.47,309897,3262,212725,1331,92579,92580,88150,548,3882,conventional,HartfordSpringfield
2016-06-26,2016,1.41,329620,3521,245341,263,80495,80495,77812,318,2365,conventional,HartfordSpringfield
2016-06-19,2016,1.5,335704,4764,253641,308,76991,76991,73923,883,2185,conventional,HartfordSpringfield
2016-06-12,2016,1.47,324963,7760,242441,319,74443,74443,71188,585,2670,conventional,HartfordSpringfield
2016-06-05,2016,1.46,303118,4757,219463,246,78652,78652,75889,578,2185,conventional,HartfordSpringfield
2016-05-29,2016,1.15,382444,5717,310084,433,66210,66209,63033,1486,1690,conventional,HartfordSpringfield
2016-05-22,2016,1.26,296894,3701,224263,522,68408,68408,66398,940,1070,conventional,HartfordSpringfield
2016-05-15,2016,1.24,416265,5224,353743,779,56519,56518,55425,1053,40,conventional,HartfordSpringfield
2016-05-08,2016,0.86,522565,6158,449501,436,66470,66470,64704,1766,0,conventional,HartfordSpringfield
2016-05-01,2016,1.18,353240,4164,286951,247,61878,61878,59813,2065,0,conventional,HartfordSpringfield
2016-04-24,2016,1.25,342796,4252,277216,685,60643,60644,59633,983,28,conventional,HartfordSpringfield
2016-04-17,2016,1.18,284480,3818,212804,95,67763,67762,66917,802,43,conventional,HartfordSpringfield
2016-04-10,2016,1.17,280729,4510,213983,172,62064,62063,61560,283,220,conventional,HartfordSpringfield
2016-04-03,2016,1.36,254202,4184,204808,449,44761,44761,44065,567,129,conventional,HartfordSpringfield
2016-03-27,2016,1.31,294602,3704,234449,197,56252,56254,55054,1200,0,conventional,HartfordSpringfield
2016-03-20,2016,1.17,373373,5156,315608,278,52331,52331,51367,964,0,conventional,HartfordSpringfield
2016-03-13,2016,1.3,315394,4317,253677,179,57221,57221,56231,990,0,conventional,HartfordSpringfield
2016-03-06,2016,1.27,311503,4867,241128,295,65213,65212,64020,1189,3,conventional,HartfordSpringfield
2016-02-28,2016,1.17,357504,5559,305867,233,45845,45846,43904,1942,0,conventional,HartfordSpringfield
2016-02-21,2016,1.28,288176,4492,214537,280,68867,68867,66445,2422,0,conventional,HartfordSpringfield
2016-02-14,2016,1.1,398441,6065,326487,317,65572,65572,61273,4299,0,conventional,HartfordSpringfield
2016-02-07,2016,1.16,393866,4835,306374,531,82126,82127,78439,3685,3,conventional,HartfordSpringfield
2016-01-31,2016,1.12,390135,5276,322398,256,62205,62205,59996,2209,0,conventional,HartfordSpringfield
2016-01-24,2016,1.27,317933,2331,234917,304,80381,80380,75964,4411,5,conventional,HartfordSpringfield
2016-01-17,2016,1.18,352473,4187,265631,223,82432,82431,81352,1079,0,conventional,HartfordSpringfield
2016-01-10,2016,1.26,284119,3362,213814,238,66705,66705,64793,1912,0,conventional,HartfordSpringfield
2016-01-03,2016,1.07,322752,4199,275681,297,42575,42575,41478,1097,0,conventional,HartfordSpringfield
2016-12-25,2016,0.72,1126851,571304,238202,3258,314087,314088,144115,169973,0,conventional,Houston
2016-12-18,2016,0.63,1212933,576578,258779,2886,374690,374690,155394,219296,0,conventional,Houston
2016-12-11,2016,0.73,1015974,413908,275659,3480,322927,322927,70239,252688,0,conventional,Houston
2016-12-04,2016,0.71,1130896,592360,274634,4509,259393,259393,64285,195108,0,conventional,Houston
2016-11-27,2016,0.82,854630,525325,173402,3567,152336,152336,81853,70483,0,conventional,Houston
2016-11-20,2016,0.99,827346,466961,202860,4070,153455,153454,58525,94916,13,conventional,Houston
2016-11-13,2016,1.05,828867,431732,231630,4850,160655,160655,61277,99275,103,conventional,Houston
2016-11-06,2016,1.12,782911,430099,168815,2922,181075,181076,78828,102248,0,conventional,Houston
2016-10-30,2016,1.15,709890,346283,181579,3193,178835,178836,47723,131113,0,conventional,Houston
2016-10-23,2016,1.0,777848,371566,145059,2489,258734,258734,197398,61336,0,conventional,Houston
2016-10-16,2016,0.98,992993,492463,223737,3349,273444,273444,132407,141037,0,conventional,Houston
2016-10-09,2016,0.98,1075304,483285,344449,9671,237899,237899,121028,116836,35,conventional,Houston
2016-10-02,2016,0.98,1023030,446277,260177,3196,313380,313380,129091,184289,0,conventional,Houston
2016-09-25,2016,0.96,1027782,463608,266059,2894,295221,295221,101364,193857,0,conventional,Houston
2016-09-18,2016,0.83,1127109,702368,203949,3024,217768,217769,126297,91452,20,conventional,Houston
2016-09-11,2016,0.76,1217347,729949,188319,2466,296613,296612,216414,79968,230,conventional,Houston
2016-09-04,2016,0.72,1351650,782983,265697,3440,299530,299530,208801,88824,1905,conventional,Houston
2016-08-28,2016,0.88,1021607,610762,216733,3065,191047,191047,124174,58653,8220,conventional,Houston
2016-08-21,2016,0.9,1046507,583161,248160,5697,209489,209488,132616,76539,333,conventional,Houston
2016-08-14,2016,0.9,1015264,590138,218436,3816,202874,202874,123194,79430,250,conventional,Houston
2016-08-07,2016,0.92,1040953,614770,239658,5033,181492,181493,121224,60269,0,conventional,Houston
2016-07-31,2016,0.98,941066,547468,203888,4165,185545,185544,117561,64240,3743,conventional,Houston
2016-07-24,2016,0.96,985028,555710,218180,5209,205929,205930,163970,39623,2337,conventional,Houston
2016-07-17,2016,0.92,1006984,551921,219856,8568,226639,226639,189089,37550,0,conventional,Houston
2016-07-10,2016,0.89,1101544,607070,208422,41629,244423,244423,201545,39453,3425,conventional,Houston
2016-07-03,2016,0.92,1189787,545800,245932,139911,258144,258144,201099,39117,17928,conventional,Houston
2016-06-26,2016,0.88,1186692,586636,216134,113474,270448,270448,165598,86483,18367,conventional,Houston
